"name","standing","numWins","numLoss","isChampion","season","seasonStart","seasonEnd"
"Hawks","8","31","51","False","1980-1981","1980","1981"
"Hawks","6","42","40","False","1981-1982","1981","1982"
"Hawks","6","43","39","False","1982-1983","1982","1983"
"Hawks","7","40","42","False","1983-1984","1983","1984"
"Hawks","9","34","48","False","1984-1985","1984","1985"
"Hawks","4","50","32","False","1985-1986","1985","1986"
"Hawks","2","57","25","False","1986-1987","1986","1987"
"Hawks","3","50","32","False","1987-1988","1987","1988"
"Hawks","4","52","30","False","1988-1989","1988","1989"
"Hawks","9","41","41","False","1989-1990","1989","1990"
"Hawks","6","43","39","False","1990-1991","1990","1991"
"Hawks","8","38","44","False","1991-1992","1991","1992"
"Hawks","6","43","39","False","1992-1993","1992","1993"
"Hawks","1","57","25","False","1993-1994","1993","1994"
"Hawks","7","42","40","False","1994-1995","1994","1995"
"Hawks","6","46","36","False","1995-1996","1995","1996"
"Hawks","4","56","26","False","1996-1997","1996","1997"
"Hawks","5","50","32","False","1997-1998","1997","1998"
"Hawks","4","31","19","False","1998-1999","1998","1999"
"Hawks","14","28","54","False","1999-2000","1999","2000"
"Hawks","13","25","57","False","2000-2001","2000","2001"
"Hawks","12","33","49","False","2001-2002","2001","2002"
"Hawks","11","35","47","False","2002-2003","2002","2003"
"Hawks","12","28","54","False","2003-2004","2003","2004"
"Hawks","15","13","69","False","2004-2005","2004","2005"
"Hawks","14","26","56","False","2005-2006","2005","2006"
"Hawks","13","30","52","False","2006-2007","2006","2007"
"Hawks","8","37","45","False","2007-2008","2007","2008"
"Hawks","4","47","35","False","2008-2009","2008","2009"
"Hawks","3","53","29","False","2009-2010","2009","2010"
"Hawks","5","44","38","False","2010-2011","2010","2011"
"Hawks","5","40","26","False","2011-2012","2011","2012"
"Hawks","6","44","38","False","2012-2013","2012","2013"
"Hawks","8","38","44","False","2013-2014","2013","2014"
"Hawks","1","60","22","False","2014-2015","2014","2015"
"Hawks","4","48","34","False","2015-2016","2015","2016"
"Hawks","5","43","39","False","2016-2017","2016","2017"
"Hawks","15","24","58","False","2017-2018","2017","2018"
"Hawks","12","29","53","False","2018-2019","2018","2019"
"Hawks","14","20","47","False","2019-2020","2019","2020"
"Hawks","5","41","31","False","2020-2021","2020","2021"
"Celtics","1","62","20","False","1980-1981","1980","1981"
"Celtics","1","63","19","False","1981-1982","1981","1982"
"Celtics","3","56","26","False","1982-1983","1982","1983"
"Celtics","1","62","20","False","1983-1984","1983","1984"
"Celtics","1","63","19","False","1984-1985","1984","1985"
"Celtics","1","67","15","False","1985-1986","1985","1986"
"Celtics","1","59","23","False","1986-1987","1986","1987"
"Celtics","1","57","25","False","1987-1988","1987","1988"
"Celtics","8","42","40","False","1988-1989","1988","1989"
"Celtics","4","52","30","False","1989-1990","1989","1990"
"Celtics","2","56","26","False","1990-1991","1990","1991"
"Celtics","2","51","31","False","1991-1992","1991","1992"
"Celtics","4","48","34","False","1992-1993","1992","1993"
"Celtics","10","32","50","False","1993-1994","1993","1994"
"Celtics","8","35","47","False","1994-1995","1994","1995"
"Celtics","11","33","49","False","1995-1996","1995","1996"
"Celtics","15","15","67","False","1996-1997","1996","1997"
"Celtics","12","36","46","False","1997-1998","1997","1998"
"Celtics","12","19","31","False","1998-1999","1998","1999"
"Celtics","10","35","47","False","1999-2000","1999","2000"
"Celtics","9","36","46","False","2000-2001","2000","2001"
"Celtics","3","49","33","False","2001-2002","2001","2002"
"Celtics","6","44","38","False","2002-2003","2002","2003"
"Celtics","8","36","46","False","2003-2004","2003","2004"
"Celtics","4","45","37","False","2004-2005","2004","2005"
"Celtics","11","33","49","False","2005-2006","2005","2006"
"Celtics","15","24","58","False","2006-2007","2006","2007"
"Celtics","1","66","16","False","2007-2008","2007","2008"
"Celtics","2","62","20","False","2008-2009","2008","2009"
"Celtics","4","50","32","False","2009-2010","2009","2010"
"Celtics","3","56","26","False","2010-2011","2010","2011"
"Celtics","4","39","27","False","2011-2012","2011","2012"
"Celtics","7","41","40","False","2012-2013","2012","2013"
"Celtics","12","25","57","False","2013-2014","2013","2014"
"Celtics","7","40","42","False","2014-2015","2014","2015"
"Celtics","5","48","34","False","2015-2016","2015","2016"
"Celtics","1","53","29","False","2016-2017","2016","2017"
"Celtics","2","55","27","False","2017-2018","2017","2018"
"Celtics","4","49","33","False","2018-2019","2018","2019"
"Celtics","3","48","24","False","2019-2020","2019","2020"
"Celtics","7","36","36","False","2020-2021","2020","2021"
"Cavaliers","9","28","54","False","1980-1981","1980","1981"
"Cavaliers","11","15","67","False","1981-1982","1981","1982"
"Cavaliers","10","23","59","False","1982-1983","1982","1983"
"Cavaliers","9","28","54","False","1983-1984","1983","1984"
"Cavaliers","8","36","46","False","1984-1985","1984","1985"
"Cavaliers","9","29","53","False","1985-1986","1985","1986"
"Cavaliers","9","31","51","False","1986-1987","1986","1987"
"Cavaliers","5","42","40","False","1987-1988","1987","1988"
"Cavaliers","3","57","25","False","1988-1989","1988","1989"
"Cavaliers","7","42","40","False","1989-1990","1989","1990"
"Cavaliers","9","33","49","False","1990-1991","1990","1991"
"Cavaliers","4","57","25","False","1991-1992","1991","1992"
"Cavaliers","3","54","28","False","1992-1993","1992","1993"
"Cavaliers","5","47","35","False","1993-1994","1993","1994"
"Cavaliers","6","43","39","False","1994-1995","1994","1995"
"Cavaliers","4","47","35","False","1995-1996","1995","1996"
"Cavaliers","9","42","40","False","1996-1997","1996","1997"
"Cavaliers","6","47","35","False","1997-1998","1997","1998"
"Cavaliers","11","22","28","False","1998-1999","1998","1999"
"Cavaliers","11","32","50","False","1999-2000","1999","2000"
"Cavaliers","11","30","52","False","2000-2001","2000","2001"
